filename,construction_type,reason
리모델링 안전보건작업 기술지침.pdf,기타,리모델링은 다양한 공종이 포함될 수 있어 기타로 분류했습니다.
이동식 비계 설치 및 사용안전 기술지침.pdf,가설공사,이동식 비계는 가설공사의 일환으로 사용되기 때문에 관련성이 높습니다.
수직형 추락방망 설치 기술지침.pdf,가설공사,추락방망은 가설공사에서 안전을 위한 장치로 사용되므로 관련성이 있습니다.
교량공사의 이동식 비계공법(MSS) 안전작업 지침.pdf,교량공사,교량공사와 관련된 이동식 비계공법에 대한 지침이므로 직접적인 관련이 있습니다.
트러스거더 교량공사 안전보건작업지침.pdf,교량공사,"트러스거더는 교량의 주요 구조물로, 관련된 안전보건 작업 지침입니다."
흙막이공사(C.I.P공법) 안전보건작업 지침.pdf,토공사,흙막이공사는 토공사와 밀접한 관련이 있어 해당 공종으로 분류했습니다.
굴착기 안전보건작업 지침.pdf,토공사,굴착기는 주로 토공사에서 사용되므로 관련성이 높습니다.
"흙막이공사(강널말뚝, Sheet Pile)의 안전보건작업지침.pdf",토공사,강널말뚝과 Sheet Pile은 토공사에서 사용되는 기법으로 관련성이 있습니다.
흙막이공사(엄지말뚝 공법) 안전보건작업 지침.pdf,토공사,엄지말뚝 공법은 토공사에서 사용되는 방법으로 관련성이 높습니다.
철탑공사 안전보건기술지침.pdf,기계설비공사,"철탑은 주로 기계설비와 관련된 구조물로, 해당 공종으로 분류했습니다."
작업의자형 달비계 안전작업 지침.pdf,가설공사,"달비계는 가설구조물로, 안전작업 지침이 가설공사와 관련이 깊습니다."
발파공사 안전보건작업 지침.pdf,터널공사,"발파공사는 주로 터널공사에서 사용되며, 안전보건 지침이 필수적입니다."
타일(Tile) 공사 안전보건작업 지침.pdf,타일 및 돌공사,타일 공사는 타일 및 돌공사와 직접적으로 관련이 있습니다.
굴착공사 계측관리 기술지침.pdf,토공사,"굴착공사는 토공사에 해당하며, 계측관리는 안전과 관련이 있습니다."
중소규모 건설업체 본사의 안전보건관리에 관한 지침.pdf,기타,중소규모 건설업체의 안전보건 관리에 대한 일반적인 지침으로 특정 공종과는 관련이 적습니다.
관로매설공사(유압식 추진공법) 안전보건작업 지침.pdf,관공사,"관로매설공사는 관공사에 해당하며, 안전작업 지침이 필요합니다."
지붕공사 안전보건작업 기술지침.pdf,지붕 및 홈통공사,지붕공사는 지붕 및 홈통공사와 직접적으로 관련이 있습니다.
흙막이공사 (SCW 공법) 안전보건작업지침.pdf,토공사,"흙막이공사는 토공사와 관련이 있으며, 안전작업 지침이 중요합니다."
덤프트럭 및 화물자동차 안전작업지침.pdf,기타,덤프트럭과 화물자동차의 안전작업 지침으로 특정 공종과는 관련이 적습니다.
터널공사(프론트잭킹) 안전보건작업지침.pdf,터널공사,"프론트잭킹은 터널공사에서 사용되는 기술로, 안전보건 지침이 필수적입니다."
갱폼(Gang form) 제작 및 사용안전 지침.pdf,철근콘크리트공사,갱폼은 철근콘크리트 구조물의 형틀로 사용되므로 철근콘크리트공사와 밀접한 관련이 있습니다.
냉동냉장 물류창고 단열공사 화재예방 안전보건작업 지침.pdf,기계설비공사,냉동냉장 물류창고의 단열은 기계설비와 관련된 안전보건 작업이 필요합니다.
터널공사(NATM공법) 안전보건작업 지침.pdf,터널공사,문서 제목에 터널공사와 관련된 NATM 공법이 명시되어 있어 직접적인 관련이 있습니다.
흙막이공사(Earth Anchor 공법) 안전보건작업 지침.pdf,토공사,"흙막이공사는 토공사와 관련된 작업으로, 지반 안정성을 확보하는 데 중요합니다."
내장공사의 안전보건작업 지침.pdf,미장공사,내장공사는 주로 미장 및 마감 작업과 관련이 있어 미장공사와 연결됩니다.
블록식 보강토 옹벽 공사 안전보건작업 지침.pdf,토공사,"블록식 보강토 옹벽은 토공사에 해당하며, 지반 안정성을 위한 중요한 작업입니다."
화학플랜트 개보수 공사 안전보건작업 기술지침.pdf,산업설비공사,"화학플랜트는 산업설비와 관련된 공사로, 안전보건 작업이 필수적입니다."
낙하물 방호선반 설치 지침.pdf,가설공사,낙하물 방호선반은 가설공사에서 안전을 위한 중요한 장치입니다.
재사용 가설기자재 성능기준에 관한 지침.pdf,가설공사,"가설기자재는 가설공사에서 사용되며, 성능 기준이 중요합니다."
시스템 비계 안전작업 지침.pdf,가설공사,시스템 비계는 가설공사에서 안전한 작업 환경을 제공하는 중요한 요소입니다.
강박스거더 교량공사 안전보건작업 지침.pdf,교량공사,"강박스거더는 교량의 주요 구조물로, 교량공사와 직접적으로 관련이 있습니다."
교량공사(P.S.M공법) 안전작업 지침.pdf,교량공사,"P.S.M공법은 교량 건설에 특화된 공법으로, 교량공사와 밀접한 관련이 있습니다."
수상 바지(Barge)선 이용 건설공사 안전작업 지침.pdf,항만공사,"수상 바지를 이용한 공사는 주로 항만과 관련된 작업으로, 항만공사와 관련이 있습니다."
단순 슬래브 콘크리트 타설 안전보건작업 지침.pdf,철근콘크리트공사,"슬래브 콘크리트 타설은 철근콘크리트공사의 기본 작업으로, 관련성이 높습니다."
작업발판 설치 및 사용안전 지침.pdf,가설공사,"작업발판은 가설공사의 일환으로 설치되며, 안전 사용 지침이 필요합니다."
탑다운(Top down) 공법 안전작업 지침.pdf,건축물 부대공사,"탑다운 공법은 건축물의 기초 및 구조물 건설에 사용되며, 부대공사와 관련이 있습니다."
"항타기, 항발기 사용 작업계획서 작성지침.pdf",말뚝공사,"항타기와 항발기는 말뚝을 설치하는 데 사용되므로, 말뚝공사와 관련이 있습니다."
금속 커튼월(Curtain wall) 안전작업 지침.pdf,금속공사,"커튼월은 금속 구조물로, 금속공사와 직접적인 관련이 있습니다."
이동식 크레인 안전보건작업 지침.pdf,기계설비공사,"이동식 크레인은 기계설비의 일환으로 사용되며, 관련성이 높습니다."
초고층 건축물공사(일반사항) 안전보건작업지침.pdf,특수 건축물공사,초고층 건축물은 특수한 설계와 시공이 필요하여 특수 건축물공사와 관련이 있습니다.
관로매설공사 안전보건작업 기술지침.pdf,관공사,"관로매설공사는 관공사에 해당하며, 안전보건작업 기술지침이 관련되어 있습니다."
건설공사의 고소작업대 안전보건작업지침.pdf,가설공사,고소작업대는 가설공사와 관련이 깊어 안전보건작업 지침이 필요합니다.
I.L.M 교량공사 안전보건작업 지침.pdf,교량공사,교량공사에 대한 안전보건작업 지침으로 직접적인 관련이 있습니다.
"해상 RCD 현장타설 말뚝공사(현수교, 사장교) 안전작업 지침.pdf",말뚝공사,"말뚝공사와 관련된 안전작업 지침으로, 현수교 및 사장교와의 연관성이 있습니다."
시스템 동바리 안전작업 지침.pdf,철골공사,"동바리는 철골공사에서 주로 사용되며, 안전작업 지침이 필요합니다."
터널공사(Shield-T.B.M공법) 안전보건작업 지침.pdf,터널공사,터널공사에 특화된 안전보건작업 지침으로 관련성이 높습니다.
철골공사 무지보 거푸집동바리(데크플레이트 공법)안전보건작업 지침.pdf,철골공사,거푸집동바리는 철골공사와 밀접한 관련이 있어 안전보건작업 지침이 필요합니다.
교량 슬래브거푸집 해체용 작업대차 안전작업 지침.pdf,해체 및 철거공사,슬래브거푸집 해체와 관련된 작업으로 해체 및 철거공사와 관련이 있습니다.
현수교 주탑시공 안전보건작업지침.pdf,교량공사,"현수교 주탑시공은 교량공사에 해당하며, 안전보건작업 지침이 필요합니다."
중소규모 관로공사의 안전보건작업지침.pdf,관공사,관로공사에 대한 안전보건작업 지침으로 관련성이 높습니다.
이동식 크레인 양중작업의 안정성 검토 지침.pdf,가설공사,"이동식 크레인은 가설공사에서 자주 사용되며, 양중작업의 안전성을 검토하는 지침이기 때문에 관련성이 높습니다."
F.C.M 교량공사 안전보건작업 지침.pdf,교량공사,"교량공사에 특화된 안전보건작업 지침으로, 해당 공종과 직접적인 관련이 있습니다."
경량철골 천장공사 안전보건작업 지침.pdf,철골공사,"경량철골 구조물에 대한 안전보건 지침으로, 철골공사와 밀접한 관련이 있습니다."
터널공사(NTR공법) 안전보건작업지침.pdf,터널공사,"터널공사에 대한 안전보건작업 지침으로, 해당 공종과 직접적으로 관련이 있습니다."
건설공사 안전보건 설계 지침.pdf,기타,"모든 건설공사에 적용될 수 있는 일반적인 안전보건 설계 지침으로, 특정 공종에 국한되지 않습니다."
트럭 탑재형 크레인(Cago crane) 안전보건작업지침.pdf,가설공사,"트럭 탑재형 크레인은 가설공사에서 사용되며, 안전보건작업 지침이기 때문에 관련성이 높습니다."
프리캐스트 콘크리트 건축구조물 조립 안전보건작업 지침.pdf,프리캐스트 콘크리트공사,"프리캐스트 콘크리트 구조물 조립에 대한 안전보건작업 지침으로, 해당 공종과 밀접한 관련이 있습니다."
건설기계 안전보건작업 지침.pdf,기타,"건설기계에 대한 일반적인 안전보건작업 지침으로, 특정 공종에 국한되지 않습니다."
"시스템폼(RCS폼,ACS폼 중심) 안전작업 지침.pdf",철근콘크리트공사,"시스템폼은 철근콘크리트공사에서 주로 사용되며, 안전작업 지침이기 때문에 관련성이 높습니다."
콘크리트공사의 안전보건작업 지침.pdf,철근콘크리트공사,"콘크리트공사에 대한 안전보건작업 지침으로, 해당 공종과 직접적으로 관련이 있습니다."
"가설구조물의 설계변경 요청 내용, 절차 등에 관한 작성지침.pdf",가설공사,가설구조물의 설계변경과 관련된 내용이므로 가설공사와 가장 관련이 깊습니다.
해체공사 안전보건작업 기술지침.pdf,해체 및 철거공사,해체공사에 대한 안전보건작업 지침이므로 해체 및 철거공사와 직접적으로 관련이 있습니다.
건설현장 용접용단 안전보건작업 기술지침.pdf,금속공사,용접과 단열 작업은 금속공사와 밀접하게 관련되어 있습니다.
조적공사 안전보건작업 기술지침.pdf,조적공사,조적공사에 대한 안전보건작업 지침이므로 해당 공종과 직접적으로 관련이 있습니다.
수직보호망 설치 지침.pdf,가설공사,수직보호망은 가설공사에서 안전을 위한 필수 요소이므로 관련성이 높습니다.
취약시기 건설현장 안전작업지침.pdf,기타,특정 공종에 국한되지 않고 전반적인 안전작업 지침이므로 기타로 분류됩니다.
기성 콘크리트 파일 항타 안전보건작업 지침.pdf,말뚝공사,기성 콘크리트 파일 항타 작업은 말뚝공사와 관련이 있습니다.
터널공사(침매공법) 안전보건작업지침.pdf,터널공사,터널공사에 대한 안전보건작업 지침이므로 해당 공종과 직접적으로 관련이 있습니다.
초고층 건축물공사(화재예방) 안전보건작업지침.pdf,특수 건축물공사,초고층 건축물에 대한 안전지침이므로 특수 건축물공사와 관련이 있습니다.
파이프 서포트 동바리 안전작업 지침.pdf,기계설비공사,파이프 서포트와 관련된 작업은 기계설비공사와 밀접하게 관련되어 있습니다.
지하매설물 굴착공사 안전작업 지침.pdf,토공사,"지하매설물 굴착은 토공사와 밀접한 관련이 있으며, 안전작업 지침이 필요하다."
슬립폼(Slip form) 안전작업 지침.pdf,철근콘크리트공사,슬립폼은 주로 철근콘크리트 구조물의 시공에 사용되므로 관련성이 높다.
안전대 사용지침.pdf,가설공사,안전대는 가설공사에서 작업자의 안전을 보장하기 위해 필수적이다.
야간 건설공사 안전보건작업 지침.pdf,기타,야간 작업은 다양한 공종에 적용될 수 있어 기타로 분류된다.
낙하물 방지망 설치 지침.pdf,해체 및 철거공사,낙하물 방지망은 해체 및 철거 작업에서 안전을 위해 중요하다.
건설공사 굴착면 안전기울기 기준에 관한 기술지침.pdf,토공사,굴착면의 안전기울기는 토공사에서 중요한 안전 기준이다.
건축물의 석공사(내외장) 안전보건작업 기술지침.pdf,조적공사,"석공사는 조적공사와 관련이 있으며, 안전보건 작업 지침이 필요하다."
흙막이공사(Soil Nailing 공법) 안전보건작업 지침.pdf,토공사,흙막이공사는 토공사에서 흔히 사용되는 기법으로 관련성이 높다.
밀폐공간의 방수공사 안전보건작업 지침.pdf,방수공사,밀폐공간에서의 방수작업은 방수공사와 직접적으로 관련이 있다.
프리스트레스트 콘크리트(PSC) 교량공사 안전작업 지침.pdf,교량공사,프리스트레스트 콘크리트는 교량공사에 특화된 기술이므로 관련성이 높다.
조경공사(수목식재작업) 안전보건작업지침.pdf,조경공사,파일명이 조경공사와 관련된 수목식재작업을 명시하고 있어 직접적으로 관련이 있습니다.
가공송전선로 철탑 심형기초공사 안전보건작업 지침.pdf,기계설비공사,철탑 기초공사는 전력설비와 관련이 깊어 기계설비공사와 연결됩니다.
현수교 교량공사 안전보건작업 지침.pdf,교량공사,"현수교는 교량의 일종으로, 교량공사와 직접적으로 관련이 있습니다."
철골공사 안전보건작업 지침.pdf,철골공사,파일명이 철골공사에 대한 안전보건 작업지침을 다루고 있어 관련성이 높습니다.
시트(Sheet)방수 안전보건작업 지침.pdf,방수공사,방수 작업에 대한 지침이므로 방수공사와 관련이 있습니다.
소규모 철근콘크리트 교량공사 거푸집 동바리 안전작업 지침.pdf,철근콘크리트공사,"철근콘크리트 교량공사에 대한 지침으로, 철근콘크리트공사와 밀접한 관련이 있습니다."
"타워크레인 설치, 조립, 해체 작업계획서 작성지침.pdf",가설공사,"타워크레인은 가설물의 일종으로, 가설공사와 관련이 있습니다."
추락방호망 설치 지침.pdf,기타,추락방호망은 다양한 공종에서 사용되지만 특정 공종에 국한되지 않으므로 기타로 분류됩니다.
우물통기초 안전보건 작업지침.pdf,말뚝공사,"우물통기초는 말뚝공사와 관련된 기초공법으로, 해당 공종과 관련이 있습니다."
"흙막이공사(띠장긴장공법, Prestressed Wale Method) 안전보건 작업지침.pdf",토공사,"흙막이공사는 토공사와 밀접한 관련이 있으며, 지반 안정성을 위한 작업입니다."
굴착공사 안전작업 지침.pdf,토공사,"굴착공사는 토공사에 해당하며, 안전작업 지침이 필요하기 때문입니다."
곤돌라(Gondola) 안전보건작업 지침.pdf,가설공사,"곤돌라는 가설 구조물로, 안전보건 작업 지침이 중요합니다."
교량공사(라멘교) 안전보건작업지침.pdf,교량공사,교량공사에 대한 안전보건 작업 지침이므로 직접적으로 관련이 있습니다.
옹벽(콘크리트 옹벽)공사의 안전보건작업지침.pdf,토공사,"콘크리트 옹벽은 토공사와 관련이 있으며, 안전 지침이 필요합니다."
강관비계 안전작업지침.pdf,금속공사,"강관비계는 금속 구조물로, 안전작업 지침이 필요합니다."
미장공사 안전보건작업 지침.pdf,미장공사,미장공사에 대한 안전보건 작업 지침이므로 관련성이 높습니다.
아스팔트콘크리트 포장공사 안전보건작업 지침.pdf,도로 및 포장공사,아스팔트콘크리트 포장은 도로 및 포장공사와 관련이 있습니다.
PCT거더 교량공사 안전보건작업지침.pdf,교량공사,"PCT거더는 교량공사에 해당하며, 안전보건 지침이 필요합니다."
건설현장의 중량물 취급 작업계획서(이동식크레인) 작성지침.pdf,기계설비공사,"중량물 취급은 기계설비와 관련이 있으며, 안전 작업 계획이 필요합니다."
흙막이공사(지하연속벽) 안전보건작업 지침.pdf,토공사,"흙막이공사는 토공사와 관련이 있으며, 안전보건 지침이 필요합니다."
가설계단 설치 및 사용 안전보건작업 지침.pdf,가설공사,"가설계단은 건설 현장에서 임시로 설치되는 구조물로, 가설공사와 직접적으로 관련이 있습니다."
사장교 교량공사 안전보건작업 지침.pdf,교량공사,"사장교는 교량의 일종으로, 교량공사와 관련된 안전보건 작업 지침입니다."
건설공사 돌관작업 안전보건작업 지침.pdf,타일 및 돌공사,"돌관작업은 돌을 사용하는 작업으로, 타일 및 돌공사와 관련이 있습니다."
강아치교(벤트공법) 안전보건작업지침.pdf,교량공사,"강아치교는 특정한 형태의 교량으로, 교량공사와 관련된 안전보건 작업 지침입니다."
